id,sku,skuRemake,skuNumeric,gender,msrp
989,F65116-Tan/D.Brown,"F65116,Tan/D.Brown",65116,MEN,
1560,F68204-Black,"F68204,Black",68204,MEN,
1587,F83212-Brown,"F83212,Brown",83212,MEN,
696,F83212-Tan,"F83212,Tan",83212,MEN,
612,F83226-Tan,"F83226,Tan",83226,MEN,
1605,F83260-Tan,"F83260,Tan",83260,MEN,
1618,F83646-Black,"F83646,Black",83646,MEN,
1619,F83646-D.Brown,"F83646,D.Brown",83646,MEN,
135,F83646-Maroon,"F83646,Maroon",83646,MEN,
1650,F86224-Tan,"F86224,Tan",86224,MEN,
1662,F86624-Black,"F86624,Black",86624,MEN,
1663,F86625-Brown,"F86625,Brown",86625,MEN,
1672,F90202-R.Tan,"F90202,R.Tan",90202,MEN,
1683,F90806-Brown/D.Brown,"F90806,Brown/D.Brown",90806,MEN,
1684,F90806-Nuss/L.Brown,"F90806,Nuss/L.Brown",90806,MEN,
662,F91229-Maroon,"F91229,Maroon",91229,MEN,
750,F91229-Tan,"F91229,Tan",91229,MEN,
1710,F91628-D.Brown,"F91628,D.Brown",91628,MEN,
887,F91712-Maroon/D.Brown,"F91712,Maroon/D.Brown",91712,MEN,
1714,F91717-Tan,"F91717,Tan",91717,MEN,
1718,F92035-Maroon,"F92035,Maroon",92035,MEN,
76,F92204-Tan/Black,"F92204,Tan/Black",92204,MEN,
567,F92235-Tan,"F92235,Tan",92235,MEN,
1745,F92246-Tan,"F92246,Tan",92246,MEN,
46,F92247-Tan,"F92247,Tan",92247,MEN,
655,F92249-Tan,"F92249,Tan",92249,MEN,
1750,F92250-Maroon,"F92250,Maroon",92250,MEN,
902,F92255-Tan,"F92255,Tan",92255,MEN,
384,F92402-Tan/D.Brown,"F92402,Tan/D.Brown",92402,MEN,
1771,F92406-Tan,"F92406,Tan",92406,MEN,
1090,F92518-Tan/D.Brown,"F92518,Tan/D.Brown",92518,MEN,
1043,F92635-Brown,"F92635,Brown",92635,MEN,
710,F92635-Maroon,"F92635,Maroon",92635,MEN,
1814,F92635-Maroon/Coffee,"F92635,Maroon/Coffee",92635,MEN,
1815,F92635-Maroon/D.Coffee,"F92635,Maroon/D.Coffee",92635,MEN,
941,F92823-Tan/D.Brown,"F92823,Tan/D.Brown",92823,MEN,
1033,F94304-Tan,"F94304,Tan",94304,MEN,
1852,F95217-Tan/TanBtk,"F95217,Tan/TanBtk",95217,MEN,
463,F98206-Tan,"F98206,Tan",98206,MEN,
572,F98214-Tan,"F98214,Tan",98214,MEN,
954,F98215-Tan,"F98215,Tan",98215,MEN,
1919,F99403-L.Brown/Black,"F99403,L.Brown/Black",99403,MEN,
108,FN09203-White,"FN09203,White",09203,MEN,
832,FP11503-Tan,"FP11503,Tan",11503,MEN,
1276,FP26301-Tan,"FP26301,Tan",26301,MEN,
1368,FP55143-Tan,"FP55143,Tan",55143,MEN,
1383,FP56102-D.Brown,"FP56102,D.Brown",56102,MEN,
1400,FP59126-Tan,"FP59126,Tan",59126,MEN,
208,FP59128-Tan,"FP59128,Tan",59128,MEN,
84,FP59206-Tan,"FP59206,Tan",59206,MEN,
1442,FP61106-Brown,"FP61106,Brown",61106,MEN,
1478,FP64121-Tan,"FP64121,Tan",64121,MEN,
1481,FP64122-Brown,"FP64122,Brown",64122,MEN,
1502,FP64221-Brown,"FP64221,Brown",64221,MEN,
1503,FP64221-D.Brown,"FP64221,D.Brown",64221,MEN,
1510,FP64602-Brown,"FP64602,Brown",64602,MEN,
1516,FP64603-Maroon,"FP64603,Maroon",64603,MEN,
541,FP64607-Brown,"FP64607,Brown",64607,MEN,
1528,FP65104-Brown/D.Brown,"FP65104,Brown/D.Brown",65104,MEN,
1529,FP65104-Tan/Coffee,"FP65104,Tan/Coffee",65104,MEN,
1530,FP65104-Tan/D.Brown,"FP65104,Tan/D.Brown",65104,MEN,
1532,FP65107-Brown,"FP65107,Brown",65107,MEN,
543,FP65107-Tan,"FP65107,Tan",65107,MEN,
287,FP65108-Brown,"FP65108,Brown",65108,MEN,
31,FP65108-Tan,"FP65108,Tan",65108,MEN,
